Series Name,Series Code,Country Name,Country Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Bank Z-score,GFDD.SI.01,Georgia,GEO,..,..,..,12.13904,11.34387,14.80882,12.95236,10.49924,11.6587,10.08469,10.44185,6.292023,9.095763,9.136015,7.746837,9.618122,10.5402,10.48764,7.856631,7.087701,7.838501,7.368607,7.351558,6.229876,7.905212
Bank Z-score,GFDD.SI.01,Germany,DEU,..,..,..,15.08377,14.52654,13.23041,10.28996,9.650506,11.15748,11.11481,12.14456,6.980283,10.57427,12.41928,11.49593,12.77894,15.58472,16.60348,16.08827,16.76427,18.60744,22.48842,16.76535,15.46659,16.04881
Bank Z-score,GFDD.SI.01,Ghana,GHA,..,..,..,..,..,..,..,..,12.40597,12.91767,10.8071,9.605982,10.52352,12.12848,11.809,13.40157,14.68872,13.386,13.37064,12.63036,13.94477,13.92056,14.12575,14.15553,13.92242
Bank Z-score,GFDD.SI.01,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Greece,GRC,..,..,..,..,..,..,..,4.80545,5.112296,5.180621,5.11802,3.458258,4.494339,3.888523,-0.1872253,2.27715,7.468579,5.429644,5.945258,7.967101,9.335051,7.744936,7.77626,7.356091,6.641998
Bank Z-score,GFDD.SI.01,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guatemala,GTM,..,..,..,27.90404,27.0477,26.76402,27.9502,28.11806,26.47028,24.05425,26.72228,30.00762,30.66261,31.0119,30.51082,29.66189,30.36126,30.54368,30.32703,29.15103,30.12516,30.28761,31.63215,29.76083,30.71606
Bank Z-score,GFDD.SI.01,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,14.88611,19.92868,23.34181,24.32562,..,23.25316,27.55684,27.94649,26.72409,26.6458,25.43583,..
Bank Z-score,GFDD.SI.01,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bank Z-score,GFDD.SI.01,Guyana,GUY,..,..,..,16.90548,16.17895,16.704,14.96245,15.42694,15.85584,16.28331,17.49597,18.27921,20.13987,20.90873,20.56034,21.20683,21.45928,23.95271,28.44514,27.6426,29.58506,29.90983,29.48428,27.29902,26.12195
Bank Z-score,GFDD.SI.01,Haiti,HTI,..,..,..,..,..,..,8.358157,6.642955,8.268808,10.88296,11.57364,10.67837,11.44342,9.960195,10.98901,11.10097,12.03902,12.30199,11.69901,14.86317,16.87527,12.95728,12.23497,13.172,11.54701
