Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],Max
Lao PDR,LAO,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Lao PDR,LAO,"Compulsory education, duration (years)",SE.COM.DURS,9,9,9,9,9,9
Lao PDR,LAO,Control of Corruption: Percentile Rank,CC.PER.RNK,12.85714245,14.76190472,15.23809528,19.81132126,19.81132126,19.81132126
Lao PDR,LAO,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Lao PDR,LAO,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Lao PDR,LAO,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,75.04371,76.285458,74.274301,76.463452,,76.463452
Lao PDR,LAO,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Lao PDR,LAO,Time required to start a business (days),IC.REG.DURS,173,,,,,173
Latvia,LVA,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,96.62,,,96.62
Latvia,LVA,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,97.55,,,97.55
Latvia,LVA,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,,,95.51,,,95.51
Latvia,LVA,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,,,94.06,,,94.06
Latvia,LVA,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,,,94.33,,,94.33
Latvia,LVA,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,,,90.98,,,90.98
Latvia,LVA,"Average working hours of children, working only, ages 7-14 (hours per week)",SL.TLF.0714.WK.TM,,,,,,0
Latvia,LVA,Bribery incidence (% of firms experiencing at least one bribe payment request),IC.FRM.BRIB.ZS,2,,,,,2
Latvia,LVA,Business extent of disclosure index (0=less disclosure to 10=more disclosure),IC.BUS.DISC.XQ,5,,,,,5
Latvia,LVA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,,,,,,0
Latvia,LVA,"Compulsory education, duration (years)",SE.COM.DURS,11,11,11,11,11,11
Latvia,LVA,Control of Corruption: Percentile Rank,CC.PER.RNK,66.66666412,74.76190186,76.19047546,75.47169495,74.52830505,76.19047546
Latvia,LVA,Coverage of social safety net programs (% of population),per_sa_allsa.cov_pop_tot,,,,,,0
Latvia,LVA,Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,0
Latvia,LVA,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,87.167636,87.363545,84.585687,86.664956,,87.363545
Latvia,LVA,Technicians in R&D (per million people),SP.POP.TECH.RD.P6,,,,,,0
Latvia,LVA,Time required to start a business (days),IC.REG.DURS,5.5,,,,,5.5
Lebanon,LBN,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,,,20.7,,,20.7
Lebanon,LBN,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,,,16.59,,,16.59
